order,replicate,arm_id,run_id,attempt_number,sequence,trace_line,call_index,event,tool,paths,summary,attempt_resolved,hidden_passed,hidden_total,failed_probe_ids
1,1,H_no_handoff,20260717T022617Z-1196afcf,1,29,93,1,edit,apply_patch,D:/code/workspace/half-experiment-runs/reservation-v4-natural/H_no_handoff/20260717T022617Z-1196afcf/workspace/src/reservation_fixture/api/__init__.py|D:/code/workspace/half-experiment-runs/reservation-v4-natural/H_no_handoff/20260717T022617Z-1196afcf/workspace/src/reservation_fixture/api/cancellation.py|D:/code/workspace/half-experiment-runs/reservation-v4-natural/H_no_handoff/20260717T022617Z-1196afcf/workspace/src/reservation_fixture/events/__init__.py|D:/code/workspace/half-experiment-runs/reservation-v4-natural/H_no_handoff/20260717T022617Z-1196afcf/workspace/src/reservation_fixture/events/cancellation_audit.py,"*** Begin Patch *** Update File: D:\code\workspace\half-experiment-runs\reservation-v4-natural\H_no_handoff\20260717T022617Z-1196afcf\workspace\src\reservation_fixture\api\cancellation.py @@ from typing import Any, Callable +from reserva...",1,10,10,
1,1,H_no_handoff,20260717T022617Z-1196afcf,1,30,100,1,test_run|edit,apply_patch,D:/code/workspace/half-experiment-runs/reservation-v4-natural/H_no_handoff/20260717T022617Z-1196afcf/workspace/tests/test_cancellation_api.py,*** Begin Patch *** Add File: D:\code\workspace\half-experiment-runs\reservation-v4-natural\H_no_handoff\20260717T022617Z-1196afcf\workspace\tests\test_cancellation_api.py +from copy import deepcopy +from decimal import Decimal + +import...,1,10,10,
1,1,H_no_handoff,20260717T022617Z-1196afcf,1,31,107,1,test_run,shell_command,,"{""command"":""python -m pytest"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\H_no_handoff\\20260717T022617Z-1196afcf\\workspace"",""timeout_ms"":120000}",1,10,10,
1,1,H_no_handoff,20260717T022617Z-1196afcf,1,32,113,1,search,shell_command,,"{""command"":""rg \""NotImplemented|successor task|intentionally left incomplete\"" src tests"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\H_no_handoff\\20260717T022617Z-1196afcf\\workspace"",""timeout_ms"":10000}",1,10,10,
1,1,H_no_handoff,20260717T022617Z-1196afcf,1,33,114,1,file_read,shell_command,src//reservation_fixture//api//cancellation.py,"{""command"":""Get-Content -LiteralPath src\\reservation_fixture\\api\\cancellation.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\H_no_handoff\\20260717T022617Z-1196afcf\\workspace"",""timeout_ms"":10000}",1,10,10,
1,1,H_no_handoff,20260717T022617Z-1196afcf,1,34,115,1,file_read,shell_command,src//reservation_fixture//events//cancellation_audit.py,"{""command"":""Get-Content -LiteralPath src\\reservation_fixture\\events\\cancellation_audit.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\H_no_handoff\\20260717T022617Z-1196afcf\\workspace"",""timeout_ms"":...",1,10,10,
1,1,H_no_handoff,20260717T022617Z-1196afcf,1,35,,,evaluation,HALF private evaluator,,public 29/29; hidden 10/10,1,10,10,
2,1,A_full,20260717T023219Z-a2ce3147,1,1,17,1,file_read,shell_command,src//reservation_fixture//api//cancellation.py,"{""command"":""Get-Content -LiteralPath 'src\\reservation_fixture\\api\\cancellation.py'"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\A_full\\20260717T023219Z-a2ce3147\\workspace"",""timeout_ms"":10000}",1,10,10,
2,1,A_full,20260717T023219Z-a2ce3147,1,2,18,1,file_read,shell_command,src//reservation_fixture//events//cancellation_audit.py,"{""command"":""Get-Content -LiteralPath 'src\\reservation_fixture\\events\\cancellation_audit.py'"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\A_full\\20260717T023219Z-a2ce3147\\workspace"",""timeout_ms"":10000}",1,10,10,
2,1,A_full,20260717T023219Z-a2ce3147,1,3,19,1,file_read,shell_command,src//reservation_fixture//cancellation//service.py,"{""command"":""Get-Content -LiteralPath 'src\\reservation_fixture\\cancellation\\service.py'"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\A_full\\20260717T023219Z-a2ce3147\\workspace"",""timeout_ms"":10000}",1,10,10,
2,1,A_full,20260717T023219Z-a2ce3147,1,4,20,1,file_read,shell_command,src//reservation_fixture//api//schemas.py,"{""command"":""Get-Content -LiteralPath 'src\\reservation_fixture\\api\\schemas.py'"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\A_full\\20260717T023219Z-a2ce3147\\workspace"",""timeout_ms"":10000}",1,10,10,
2,1,A_full,20260717T023219Z-a2ce3147,1,5,28,1,file_read,shell_command,src//reservation_fixture//api//reservation.py,"{""command"":""Get-Content -LiteralPath 'src\\reservation_fixture\\api\\reservation.py'"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\A_full\\20260717T023219Z-a2ce3147\\workspace"",""timeout_ms"":10000}",1,10,10,
2,1,A_full,20260717T023219Z-a2ce3147,1,6,29,1,file_read,shell_command,src//reservation_fixture//reservation//ports.py,"{""command"":""Get-Content -LiteralPath 'src\\reservation_fixture\\reservation\\ports.py'"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\A_full\\20260717T023219Z-a2ce3147\\workspace"",""timeout_ms"":10000}",1,10,10,
2,1,A_full,20260717T023219Z-a2ce3147,1,7,30,1,file_read,shell_command,src//reservation_fixture//domain//models.py,"{""command"":""Get-Content -LiteralPath 'src\\reservation_fixture\\domain\\models.py'"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\A_full\\20260717T023219Z-a2ce3147\\workspace"",""timeout_ms"":10000}",1,10,10,
2,1,A_full,20260717T023219Z-a2ce3147,1,8,31,1,file_read,shell_command,src//reservation_fixture//repositories//memory.py,"{""command"":""Get-Content -LiteralPath 'src\\reservation_fixture\\repositories\\memory.py'"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\A_full\\20260717T023219Z-a2ce3147\\workspace"",""timeout_ms"":10000}",1,10,10,
2,1,A_full,20260717T023219Z-a2ce3147,1,9,40,1,file_read,shell_command,src//reservation_fixture//api//serializer.py,"{""command"":""Get-Content -LiteralPath 'src\\reservation_fixture\\api\\serializer.py'"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\A_full\\20260717T023219Z-a2ce3147\\workspace"",""timeout_ms"":10000}",1,10,10,
2,1,A_full,20260717T023219Z-a2ce3147,1,10,41,1,file_read,shell_command,src//reservation_fixture//events//audit.py,"{""command"":""Get-Content -LiteralPath 'src\\reservation_fixture\\events\\audit.py'"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\A_full\\20260717T023219Z-a2ce3147\\workspace"",""timeout_ms"":10000}",1,10,10,
2,1,A_full,20260717T023219Z-a2ce3147,1,11,43,1,file_read,shell_command,tests//test_cancellation_service.py,"{""command"":""Get-Content -LiteralPath 'tests\\test_cancellation_service.py'"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\A_full\\20260717T023219Z-a2ce3147\\workspace"",""timeout_ms"":10000}",1,10,10,
2,1,A_full,20260717T023219Z-a2ce3147,1,12,51,1,file_read,shell_command,tests//test_reservation_api.py,"{""command"":""Get-Content -LiteralPath 'tests\\test_reservation_api.py'"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\A_full\\20260717T023219Z-a2ce3147\\workspace"",""timeout_ms"":10000}",1,10,10,
2,1,A_full,20260717T023219Z-a2ce3147,1,13,52,1,file_read,shell_command,tests//test_repositories.py,"{""command"":""Get-Content -LiteralPath 'tests\\test_repositories.py'"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\A_full\\20260717T023219Z-a2ce3147\\workspace"",""timeout_ms"":10000}",1,10,10,
2,1,A_full,20260717T023219Z-a2ce3147,1,14,53,1,file_read,shell_command,tests//test_api_schemas.py,"{""command"":""Get-Content -LiteralPath 'tests\\test_api_schemas.py'"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\A_full\\20260717T023219Z-a2ce3147\\workspace"",""timeout_ms"":10000}",1,10,10,
2,1,A_full,20260717T023219Z-a2ce3147,1,15,54,1,file_read,shell_command,src//reservation_fixture//domain//errors.py,"{""command"":""Get-Content -LiteralPath 'src\\reservation_fixture\\domain\\errors.py'"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\A_full\\20260717T023219Z-a2ce3147\\workspace"",""timeout_ms"":10000}",1,10,10,
2,1,A_full,20260717T023219Z-a2ce3147,1,16,61,1,file_read,shell_command,src//reservation_fixture//events//publisher.py,"{""command"":""Get-Content -LiteralPath 'src\\reservation_fixture\\events\\publisher.py'"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\A_full\\20260717T023219Z-a2ce3147\\workspace"",""timeout_ms"":10000}",1,10,10,
2,1,A_full,20260717T023219Z-a2ce3147,1,17,67,1,test_run|edit,apply_patch,D:/code/workspace/half-experiment-runs/reservation-v4-natural/A_full/20260717T023219Z-a2ce3147/workspace/src/reservation_fixture/api/cancellation.py|D:/code/workspace/half-experiment-runs/reservation-v4-natural/A_full/20260717T023219Z-a2ce3147/workspace/src/reservation_fixture/events/cancellation_audit.py|D:/code/workspace/half-experiment-runs/reservation-v4-natural/A_full/20260717T023219Z-a2ce3147/workspace/tests/test_cancellation_api.py,"*** Begin Patch *** Update File: D:\code\workspace\half-experiment-runs\reservation-v4-natural\A_full\20260717T023219Z-a2ce3147\workspace\src\reservation_fixture\api\cancellation.py @@ from typing import Any, Callable +from reservation_f...",1,10,10,
2,1,A_full,20260717T023219Z-a2ce3147,1,18,74,1,test_run,shell_command,,"{""command"":""python -m pytest"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\A_full\\20260717T023219Z-a2ce3147\\workspace"",""timeout_ms"":120000}",1,10,10,
2,1,A_full,20260717T023219Z-a2ce3147,1,19,80,1,search,shell_command,,"{""command"":""rg \""NotImplementedError|successor task|cancellation audit event|cancellation API\"" src tests"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\A_full\\20260717T023219Z-a2ce3147\\workspace"",""timeo...",1,10,10,
2,1,A_full,20260717T023219Z-a2ce3147,1,20,,,evaluation,HALF private evaluator,,public 29/29; hidden 10/10,1,10,10,
3,1,D_no_verification,20260717T023914Z-bbe4444e,1,1,17,1,file_read,shell_command,src//reservation_fixture//api//cancellation.py,"{""command"":""Get-Content -LiteralPath 'src\\reservation_fixture\\api\\cancellation.py'"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\D_no_verification\\20260717T023914Z-bbe4444e\\workspace"",""timeout_ms"":10...",1,10,10,
3,1,D_no_verification,20260717T023914Z-bbe4444e,1,2,18,1,file_read,shell_command,src//reservation_fixture//events//cancellation_audit.py,"{""command"":""Get-Content -LiteralPath 'src\\reservation_fixture\\events\\cancellation_audit.py'"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\D_no_verification\\20260717T023914Z-bbe4444e\\workspace"",""timeo...",1,10,10,
3,1,D_no_verification,20260717T023914Z-bbe4444e,1,3,19,1,file_read,shell_command,src//reservation_fixture//api//schemas.py,"{""command"":""Get-Content -LiteralPath 'src\\reservation_fixture\\api\\schemas.py'"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\D_no_verification\\20260717T023914Z-bbe4444e\\workspace"",""timeout_ms"":10000}",1,10,10,
3,1,D_no_verification,20260717T023914Z-bbe4444e,1,4,20,1,file_read,shell_command,src//reservation_fixture//cancellation//service.py,"{""command"":""Get-Content -LiteralPath 'src\\reservation_fixture\\cancellation\\service.py'"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\D_no_verification\\20260717T023914Z-bbe4444e\\workspace"",""timeout_ms...",1,10,10,
3,1,D_no_verification,20260717T023914Z-bbe4444e,1,5,29,1,file_read,shell_command,src//reservation_fixture//api//reservation.py,"{""command"":""Get-Content -LiteralPath 'src\\reservation_fixture\\api\\reservation.py'"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\D_no_verification\\20260717T023914Z-bbe4444e\\workspace"",""timeout_ms"":10000}",1,10,10,
3,1,D_no_verification,20260717T023914Z-bbe4444e,1,6,30,1,file_read,shell_command,src//reservation_fixture//reservation//ports.py,"{""command"":""Get-Content -LiteralPath 'src\\reservation_fixture\\reservation\\ports.py'"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\D_no_verification\\20260717T023914Z-bbe4444e\\workspace"",""timeout_ms"":1...",1,10,10,
3,1,D_no_verification,20260717T023914Z-bbe4444e,1,7,31,1,file_read,shell_command,src//reservation_fixture//repositories//memory.py,"{""command"":""Get-Content -LiteralPath 'src\\reservation_fixture\\repositories\\memory.py'"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\D_no_verification\\20260717T023914Z-bbe4444e\\workspace"",""timeout_ms""...",1,10,10,
3,1,D_no_verification,20260717T023914Z-bbe4444e,1,8,32,1,file_read,shell_command,src//reservation_fixture//domain//models.py,"{""command"":""Get-Content -LiteralPath 'src\\reservation_fixture\\domain\\models.py'"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\D_no_verification\\20260717T023914Z-bbe4444e\\workspace"",""timeout_ms"":10000}",1,10,10,
3,1,D_no_verification,20260717T023914Z-bbe4444e,1,9,41,1,file_read,shell_command,src//reservation_fixture//api//serializer.py,"{""command"":""Get-Content -LiteralPath 'src\\reservation_fixture\\api\\serializer.py'"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\D_no_verification\\20260717T023914Z-bbe4444e\\workspace"",""timeout_ms"":10000}",1,10,10,
3,1,D_no_verification,20260717T023914Z-bbe4444e,1,10,42,1,file_read,shell_command,src//reservation_fixture//events//audit.py,"{""command"":""Get-Content -LiteralPath 'src\\reservation_fixture\\events\\audit.py'"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\D_no_verification\\20260717T023914Z-bbe4444e\\workspace"",""timeout_ms"":10000}",1,10,10,
3,1,D_no_verification,20260717T023914Z-bbe4444e,1,11,43,1,search,shell_command,,"{""command"":""rg -n \""cancel|cancellation|reservation_to_dict|publish|reserve_order\"" tests src"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\D_no_verification\\20260717T023914Z-bbe4444e\\workspace"",""timeou...",1,10,10,
3,1,D_no_verification,20260717T023914Z-bbe4444e,1,12,44,1,file_read,shell_command,tests//test_api_schemas.py|tests//test_cancellation_service.py,"{""command"":""Get-Content -LiteralPath 'tests\\test_api_schemas.py'; Get-Content -LiteralPath 'tests\\test_cancellation_service.py'"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\D_no_verification\\20260717T...",1,10,10,
3,1,D_no_verification,20260717T023914Z-bbe4444e,1,13,51,1,file_read,shell_command,src//reservation_fixture//events//publisher.py,"{""command"":""Get-Content -LiteralPath 'src\\reservation_fixture\\events\\publisher.py'"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\D_no_verification\\20260717T023914Z-bbe4444e\\workspace"",""timeout_ms"":10...",1,10,10,
3,1,D_no_verification,20260717T023914Z-bbe4444e,1,14,52,1,file_read,shell_command,tests//test_reservation_api.py,"{""command"":""Get-Content -LiteralPath 'tests\\test_reservation_api.py'"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\D_no_verification\\20260717T023914Z-bbe4444e\\workspace"",""timeout_ms"":10000}",1,10,10,
3,1,D_no_verification,20260717T023914Z-bbe4444e,1,15,53,1,file_read,shell_command,tests//test_repositories.py,"{""command"":""Get-Content -LiteralPath 'tests\\test_repositories.py'"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\D_no_verification\\20260717T023914Z-bbe4444e\\workspace"",""timeout_ms"":10000}",1,10,10,
3,1,D_no_verification,20260717T023914Z-bbe4444e,1,16,54,1,file_read,shell_command,pyproject.toml,"{""command"":""Get-Content -LiteralPath 'pyproject.toml'"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\D_no_verification\\20260717T023914Z-bbe4444e\\workspace"",""timeout_ms"":10000}",1,10,10,
3,1,D_no_verification,20260717T023914Z-bbe4444e,1,17,61,1,file_read,shell_command,src//reservation_fixture//cancellation//__init__.py,"{""command"":""Get-Content -LiteralPath 'src\\reservation_fixture\\cancellation\\__init__.py'"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\D_no_verification\\20260717T023914Z-bbe4444e\\workspace"",""timeout_m...",1,10,10,
